input_id,link,title,category,address,open_hours,website,phone,plus_code,review_count,review_rating,latitude,longitude,cid,status,reviews_link,timezone,price_range,data_id,place_id,reservations,order_online,menu,owner,complete_address,credit_cards_accepted,about,emails
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/Jevola+Logistics/data=!4m7!3m6!1s0x104e0a5742d356c7:0xf3d65e63fa3e96bc!8m2!3d28.871537!4d68.7195088!16s%2Fg%2F11h_9wdlby!19sChIJx1bTQlcKThARvJY--mNe1vM?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,Jevola Logistics,Freight forwarding service,,{},,0703 647 8029,,23,5.000000,28.871537,68.719509,17570334779725747900,,,Africa/Lagos,,0x104e0a5742d356c7:0xf3d65e63fa3e96bc,ChIJx1bTQlcKThARvJY--mNe1vM,null,"[{""link"":""https://wa.me/2347036478029"",""source"":""wa.me""}]","{""link"":"""",""source"":""""}","{""id"":""113482030308702175135"",""name"":""Jevola Logistics (Owner)"",""link"":""https://www.google.com/maps/contrib/113482030308702175135""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",,"[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online appointments"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Appointment required"",""enabled"":true}]}]",
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/Emmylink+cargo+and+Global+Logistics/data=!4m7!3m6!1s0x104e0bb6b639fcf5:0xc16f3864f7c9188!8m2!3d9.066836!4d7.4462538!16s%2Fg%2F11yfs6lsf3!19sChIJ9fw5trYLThARiJF8T4bzFgw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,Emmylink cargo and Global Logistics,Freight forwarding service,"Suites G:16c, Emmylink cargo and Global Logistics, Say Plaza, A.E. Ekukinam St, Utako, Abuja 900108, Federal Capital Territory","{""Friday"":[""9 am–5 pm""],""Monday"":[""9 am–5 pm""],""Saturday"":[""9 am–5 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–5 pm""],""Tuesday"":[""9 am–5 pm""],""Wednesday"":[""9 am–5 pm""]}",,0811 013 8258,3C8W+PG Abuja,19,4.600000,9.066836,7.446254,871151336127500680,,,Africa/Lagos,,0x104e0bb6b639fcf5:0xc16f3864f7c9188,ChIJ9fw5trYLThARiJF8T4bzFgw,null,null,"{""link"":"""",""source"":""""}","{""id"":""109606284796294718041"",""name"":""Emmylink cargo and Global Logistics (Owner)"",""link"":""https://www.google.com/maps/contrib/109606284796294718041""}","{""borough"":""Utako"",""street"":""Suites G:16c, Say Plaza, A.E. Ekukinam St"",""city"":""Abuja"",""postal_code"":""900108"",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online appointments"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]}]",
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/SPLENDID+FREIGHT+Intl.+Ltd./data=!4m7!3m6!1s0x104e0afc06ef7d9f:0x70e235e80f531085!8m2!3d9.0262242!4d7.4636283!16s%2Fg%2F11h8b448_v!19sChIJn33vBvwKThARhRBTD-g14nA?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,SPLENDID FREIGHT Intl. Ltd.,Freight forwarding service,"Area 1, SPLENDID FREIGHT Intl. Ltd., Ebenezer Place, Suite 316, Durumi, Abuja, Federal Capital Territory","{""Friday"":[""8 am–5 pm""],""Monday"":[""8 am–5 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""8 am–5 pm""],""Tuesday"":[""8 am–5 pm""],""Wednesday"":[""8 am–5 pm""]}",https://www.splendidfreight.com/,0916 853 4200,2FG7+FF Abuja,16,4.600000,9.026224,7.463628,8134123147790323845,,,Africa/Lagos,,0x104e0afc06ef7d9f:0x70e235e80f531085,ChIJn33vBvwKThARhRBTD-g14nA,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""SPLENDID FREIGHT Intl. Ltd. (Owner)"",""link"":""""}","{""borough"":""Durumi"",""street"":""Area 1, Ebenezer Place, Suite 316"",""city"":""Abuja"",""postal_code"":"""",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]}]",
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/COMFORT+LOYALTY+SERVICES+%7C+LOGISTICS+COMPANY+IN+ABUJA/data=!4m7!3m6!1s0x104e0d25a3d8aa3f:0xa7c2504911ec83d7!8m2!3d9.018051!4d7.4920606!16s%2Fg%2F11j6dw6n62!19sChIJP6rYoyUNThAR14PsEUlQwqc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,COMFORT LOYALTY SERVICES | LOGISTICS COMPANY IN ABUJA,Freight forwarding service,"PLOT 2, IBTC BUILDING, Samuel Ladoke Akintola Boulevard, Garki 2, Abuja 900247, Federal Capital Territory","{""Friday"":[""8 am–5 pm""],""Monday"":[""8 am–5 pm""],""Saturday"":[""8 am–5 pm""],""Sunday"":[""Closed""],""Thursday"":[""8 am–5 pm""],""Tuesday"":[""8 am–5 pm""],""Wednesday"":[""8 am–5 pm""]}",,0814 170 3446,2F9R+6R Abuja,7,4.900000,9.018051,7.492061,12088312624579380183,,,Africa/Lagos,,0x104e0d25a3d8aa3f:0xa7c2504911ec83d7,ChIJP6rYoyUNThAR14PsEUlQwqc,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""COMFORT LOYALTY SERVICES | LOGISTICS COMPANY IN ABUJA (Owner)"",""link"":""""}","{""borough"":""Garki 2"",""street"":""PLOT 2, IBTC BUILDING, Samuel Ladoke Akintola Boulevard"",""city"":""Abuja"",""postal_code"":""900247"",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]}]",
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/JB-Lois+Freight+and+logistics+%28Pvt%29+Ltd/data=!4m7!3m6!1s0x104e0afdc888f58b:0xc7623f7fe2ce6e1!8m2!3d9.0713018!4d7.4748316!16s%2Fg%2F11h56645vs!19sChIJi_WIyP0KThAR4eYs_vcjdgw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,JB-Lois Freight and logistics (Pvt) Ltd,Freight forwarding service,"NO. 4 BOKE CLOSE SAKONO CRESCENT, OPP AP PLAZA, Wuse 2, Abuja, Federal Capital Territory","{""Friday"":[""8 am–6 pm""],""Monday"":[""8 am–6 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""8 am–6 pm""],""Tuesday"":[""8 am–6 pm""],""Wednesday"":[""8 am–6 pm""]}",http://jb-lois.com/,0803 488 2668,,2,5.000000,9.071302,7.474832,897944723735242465,,,Africa/Lagos,,0x104e0afdc888f58b:0xc7623f7fe2ce6e1,ChIJi_WIyP0KThAR4eYs_vcjdgw,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""JB-Lois Freight and logistics (Pvt) Ltd (Owner)"",""link"":""""}","{""borough"":""Wuse 2"",""street"":""NO. 4 BOKE CLOSE SAKONO CRESCENT, OPP AP PLAZA"",""city"":""Abuja"",""postal_code"":"""",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]}]","info@bold-themes.com, info@jb-lois.com"
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/Conair+Cargo+Services+Ltd/data=!4m7!3m6!1s0x104e0b09aeb69e33:0x42276b6fcc1ba265!8m2!3d9.05497!4d7.47907!16s%2Fg%2F1tydq214!19sChIJM562rgkLThARZaIbzG9rJ0I?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,Conair Cargo Services Ltd,Freight forwarding service,"Plot 1014, Suite 22, Jinifa Plaza, Samuel Adesoji Way Samuel Adesoji Way, Federal Capital Territory","{""Friday"":[""9 am–6 pm""],""Monday"":[""9 am–6 pm""],""Saturday"":[""9 am–6 pm""],""Sunday"":[""Closed""],""Thursday"":[""9 am–6 pm""],""Tuesday"":[""9 am–6 pm""],""Wednesday"":[""9 am–6 pm""]}",,0802 078 5567,3F3H+XJ Abuja,6,3.300000,9.054970,7.479070,4766896858504864357,,,Africa/Lagos,,0x104e0b09aeb69e33:0x42276b6fcc1ba265,ChIJM562rgkLThARZaIbzG9rJ0I,null,null,"{""link"":"""",""source"":""""}","{""id"":""112473307027695662955"",""name"":""Conair Cargo Services Ltd (Owner)"",""link"":""https://www.google.com/maps/contrib/112473307027695662955""}","{""borough"":""Wuse"",""street"":""Plot 1014, Suite 22, Jinifa Plaza, Samuel Adesoji Way Samuel Adesoji Way"",""city"":""Abuja"",""postal_code"":"""",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]}]",
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/Correct+Cargo+%26+Logistics/data=!4m7!3m6!1s0x104e0b58fd5300dd:0xddc588457c930035!8m2!3d9.0765783!4d7.4639039!16s%2Fg%2F11pyt8yb08!19sChIJ3QBT_VgLThARNQCTfEWIxd0?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,Correct Cargo & Logistics,Freight forwarding service,"Muritala Muhammad International Airport, Lagos, Federal Capital Territory","{""Friday"":[""9 am–6 pm""],""Monday"":[""9 am–6 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""9 am–6 pm""],""Tuesday"":[""9 am–6 pm""],""Wednesday"":[""9 am–6 pm""]}",,0706 639 4444,3FG7+JH Abuja,0,0.000000,9.076578,7.463904,15980328684818202677,,,Africa/Lagos,,0x104e0b58fd5300dd:0xddc588457c930035,ChIJ3QBT_VgLThARNQCTfEWIxd0,null,null,"{""link"":"""",""source"":""""}","{""id"":""109491866521231199959"",""name"":""Correct Cargo \u0026 Logistics (Owner)"",""link"":""https://www.google.com/maps/contrib/109491866521231199959""}","{""borough"":""Wuse"",""street"":""Muritala Muhammad International Airport"",""city"":""Lagos"",""postal_code"":"""",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]}]",
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/Zenith+Carex+International/data=!4m7!3m6!1s0x104e0b82141ae419:0x7142e2857d69866f!8m2!3d9.0315453!4d7.4825485!16s%2Fg%2F1q5bltw8_!19sChIJGeQaFIILThARb4ZpfYXiQnE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,Zenith Carex International,Freight forwarding service,"Foto House, 10, Lantang Close, Off Ibadan Street, Tafawa Balewa Way, Area 3, Garki, Abuja, FCT, Federal Capital Territory","{""Friday"":[""7:30 am–6:30 pm""],""Monday"":[""7:30 am–6:30 pm""],""Saturday"":[""8 am–5 pm""],""Sunday"":[""Closed""],""Thursday"":[""7:30 am–6:30 pm""],""Tuesday"":[""7:30 am–6:30 pm""],""Wednesday"":[""7:30 am–6:30 pm""]}",http://www.zenithcarex.com/,,2FJM+J2 Abuja,71,4.200000,9.031545,7.482549,8161334537711355503,,,Africa/Lagos,,0x104e0b82141ae419:0x7142e2857d69866f,ChIJGeQaFIILThARb4ZpfYXiQnE,null,null,"{""link"":"""",""source"":""""}","{""id"":""105636244937103680529"",""name"":""Zenith Carex International (Owner)"",""link"":""https://www.google.com/maps/contrib/105636244937103680529""}","{""borough"":""Garki"",""street"":""Foto House, 10, Lantang Close, Off Ibadan Street, Tafawa Balewa Way, Area 3, Garki, Abuja, FCT"",""city"":""Abuja"",""postal_code"":"""",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]}]",
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/QuickMan+Logistics/data=!4m7!3m6!1s0x104e0bb804401ccf:0x15865cdb6ef7f0f8!8m2!3d9.0929102!4d7.4430112!16s%2Fg%2F11ptvzs5s5!19sChIJzxxABLgLThAR-PD3bttchhU?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,QuickMan Logistics,Courier service,"Mabushi Ultra Modern Market, Abuja, Federal Capital Territory","{""Friday"":[""8 am–6 pm""],""Monday"":[""8 am–6 pm""],""Saturday"":[""8 am–6 pm""],""Sunday"":[""Closed""],""Thursday"":[""8 am–6 pm""],""Tuesday"":[""8 am–6 pm""],""Wednesday"":[""8 am–6 pm""]}",,0806 029 1578,3CVV+56 Abuja,20,4.700000,9.092910,7.443011,1551029219205050616,,,Africa/Lagos,,0x104e0bb804401ccf:0x15865cdb6ef7f0f8,ChIJzxxABLgLThAR-PD3bttchhU,null,null,"{""link"":"""",""source"":""""}","{""id"":""101678658641984684867"",""name"":""QuickMan Logistics (Owner)"",""link"":""https://www.google.com/maps/contrib/101678658641984684867""}","{""borough"":""Kado"",""street"":""Mabushi Ultra Modern Market"",""city"":""Abuja"",""postal_code"":"""",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""Online appointments"",""enabled"":true},{""name"":""On-site services"",""enabled"":true}]}]",
3b9193d7-60f2-4128-8bc6-b8120b7359a6,https://www.google.com/maps/place/Council+For+The+Regulation+Of+Freight+Forwarding/data=!4m7!3m6!1s0x104e0b1927435f89:0x72657a1cbff173bd!8m2!3d9.0629107!4d7.4626273!16s%2Fg%2F11h0vq5p12!19sChIJiV9DJxkLThARvXPxvxx6ZXI?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,Council For The Regulation Of Freight Forwarding,Freight forwarding service,"51 Khartoum St, Wuse, Abuja 904101, Federal Capital Territory","{""Friday"":[""8 am–4 pm""],""Monday"":[""8 am–4 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""8 am–4 pm""],""Tuesday"":[""8 am–4 pm""],""Wednesday"":[""8 am–4 pm""]}",https://crffn.gov.ng/,,3F77+53 Abuja,1,5.000000,9.062911,7.462627,8243128956869505981,,,Africa/Lagos,,0x104e0b1927435f89:0x72657a1cbff173bd,ChIJiV9DJxkLThARvXPxvxx6ZXI,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Council For The Regulation Of Freight Forwarding (Owner)"",""link"":""""}","{""borough"":""Wuse"",""street"":""51 Khartoum St"",""city"":""Abuja"",""postal_code"":"""",""state"":""Federal Capital Territory"",""country"":""NG""}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]}]",
